"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\suports.py", "Python", 282, 0, 0, 10, 31, 323
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\utils.py", "Python", 78, 0, 0, 6, 20, 104
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\widgets.py", "Python", 390, 0, 0, 60, 116, 566
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\CST_pp.py", "Python", 44, 0, 0, 0, 11, 55
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\membranebQ6.py", "Python", 1, 0, 0, 0, 7, 8
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\post_processing.py", "Python", 141, 0, 0, 7, 35, 183
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\segment_member.py", "Python", 270, 0, 0, 26, 71, 367
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\section\section.py", "Python", 256, 0, 0, 0, 48, 304
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\__init__.py", "Python", 21, 0, 0, 0, 4, 25
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\element.py", "Python", 218, 0, 0, 14, 52, 284
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\geometry.py", "Python", 78, 0, 0, 0, 28, 106
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\types.py", "Python", 61, 0, 0, 1, 18, 80
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\portal.py", "Python", 31, 0, 0, 2, 18, 51
"Total", "-", 10144, 12, 907, 748, 2101, 13912
