"filename", "language", "Markdown", "Python", "JSON", "LaTeX", "comment", "blank", "total"
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\plotter copy 2.py", "Python", 0, 1499, 0, 0, 114, 267, 1880
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\plotter copy.py", "Python", 0, 1500, 0, 0, 114, 267, 1881
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\plotter.py", "Python", 0, 1499, 0, 0, 114, 267, 1880
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\plotter_values.py", "Python", 0, 154, 0, 0, 10, 33, 197
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\suports.py", "Python", 0, 282, 0, 0, 10, 31, 323
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\utils.py", "Python", 0, 78, 0, 0, 6, 20, 104
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\plotter\widgets.py", "Python", 0, 390, 0, 0, 60, 116, 566
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\CST_pp.py", "Python", 0, 44, 0, 0, 0, 11, 55
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\membranebQ6.py", "Python", 0, 1, 0, 0, 0, 7, 8
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\post_processing.py", "Python", 0, 141, 0, 0, 7, 35, 183
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\postprocess\segment_member.py", "Python", 0, 270, 0, 0, 26, 71, 367
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\report\cap1.tex", "LaTeX", 0, 0, 0, 117, 0, 16, 133
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\report\cap2.tex", "LaTeX", 0, 0, 0, 29, 0, 13, 42
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\report\main.tex", "LaTeX", 0, 0, 0, 61, 30, 23, 114
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\report\report.py", "Python", 0, 16, 0, 0, 4, 7, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\section\section.py", "Python", 0, 256, 0, 0, 0, 48, 304
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\__init__.py", "Python", 0, 21, 0, 0, 0, 4, 25
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\element.py", "Python", 0, 218, 0, 0, 14, 52, 284
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\geometry.py", "Python", 0, 78, 0, 0, 0, 28, 106
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\utils\types.py", "Python", 0, 71, 0, 0, 1, 20, 92
"Total", "-", 457, 13063, 907, 207, 956, 2780, 18370
